question,query,response
Find the task leader for following task name 'Add Steps in the Question Preview'.,"{'collection': 'tasks', 'aggregate': [{'$match': {'TaskName': 'Add Steps in the Question Preview'}}, {'$addFields': {'Task_Leader': {'$toObjectId': '$Task_Leader'}}}, {'$lookup': {'from': 'users', 'localField': 'Task_Leader', 'foreignField': '_id', 'as': 'leader_info'}}, {'$unwind': '$leader_info'}, {'$project': {'leader_info.Employee_Name': 1, '_id': 0}}]}",{'leader_info': {'Employee_Name': 'Vivek Patel'}}
List all tasks under the 'Development' folder in sprintArray,"{'collection': 'tasks', 'filter': {'sprintArray.folderName': 'Development'}, 'projection': {'TaskName': 1, '_id': 0}}","[{'TaskName': 'Add Steps in the Question Preview'}, {'TaskName': 'Client Feedback 05/12/2023)'}, {'TaskName': 'Spacing should be as per figma https://prnt.sc/Gj0HXNeSGYZS'}, {'TaskName': 'In checkout page price is not displayed discount price if we select 3 pack'}, {'TaskName': 'Image displayed stretch https://prnt.sc/WGCayiCyRgFZ'}, {'TaskName': 'Amount should be displayed up 2 decimal value https://prnt.sc/Q2zmHXfd1JhT'}]"
Count how many tasks are there in the 'Development' sprint,"{'collection': 'tasks', 'aggregate': [{'$match': {'sprintArray.folderName': 'Development'}}, {'$count': 'total_tasks'}]}",{'total_tasks': 11292}
Group tasks by all different folderName values in sprintArray,"{'collection': 'tasks', 'aggregate': [{'$unwind': '$sprintArray'}, {'$group': {'_id': '$sprintArray.folderName', 'task_count': {'$sum': 1}}}]}","[{'_id': 'Danny Goldberg Speaks .com Website', 'task_count': 11}, {'_id': 'Mobile App', 'task_count': 15}, {'_id': 'Komal', 'task_count': 1}, {'_id': 'Hetal', 'task_count': 3}, {'_id': 'Leads', 'task_count': 360}, {'_id': 'Karan Makwana', 'task_count': 1}, {'_id': 'Portfolio', 'task_count': 185}, {'_id': 'Development Shopify', 'task_count': 55}, {'_id': 'Smit Patel', 'task_count': 4}, {'_id': 'Salama WP website', 'task_count': 1}, {'_id': 'Khushbu D', 'task_count': 22}, {'_id': 'Custom Form Development', 'task_count': 11}, {'_id': 'Dhruvisha', 'task_count': 96}]"
List all employees working on 'Alian Hr module' project.,"{'collection': 'projects', 'aggregate': [{'$match': {'ProjectName': 'Alian Hr module'}}, {'$lookup': {'from': 'users', 'let': {'assignees': {'$map': {'input': '$AssigneeUserId', 'as': 'id', 'in': {'$toObjectId': '$$id'}}}}, 'pipeline': [{'$match': {'$expr': {'$in': ['$_id', '$$assignees']}}}, {'$project': {'Employee_Name': 1, '_id': 0}}], 'as': 'employees'}}, {'$unwind': '$employees'}, {'$project': {'employees.Employee_Name': 1, '_id': 0}}]}","[{'Employee_Name': 'Dhruvisha Jaiswal'}, {'Employee_Name': 'Sagar Vekariya'}, {'Employee_Name': 'Vivek Patel'}, {'Employee_Name': 'Rashesh Makwana'}, {'Employee_Name': 'Utkarshsinh Sodhaparmar'}]"
Who is leading the 'Alian Hr module' project?,"{'collection': 'projects', 'aggregate': [{'$match': {'ProjectName': 'Alian Hr module'}}, {'$lookup': {'from': 'users', 'let': {'leadUser': {'$map': {'input': '$LeadUserId', 'as': 'id', 'in': {'$toObjectId': '$$id'}}}}, 'pipeline': [{'$match': {'$expr': {'$in': ['$_id', '$$leadUser']}}}, {'$project': {'Employee_Name': 1, '_id': 0}}], 'as': 'leaders'}}, {'$unwind': '$leaders'}, {'$project': {'leaders.Employee_Name': 1, '_id': 0}}]}",{'Employee_Name': 'Rashesh Makwana'}
Which project category does 'Ahmad Yousuf - Hr- Expert Web developer for Shopify' belong to?,"{'collection': 'projects', 'aggregate': [{'$match': {'ProjectName': 'Ahmad Yousuf - Hr- Expert Web developer for Shopify'}}, {'$project': {'ProjectCategory': 1, '_id': 0}}]}",{'ProjectCategory': 'Shopify - Hourly'}
List out all the projects that are lead by the leader id '6571e715e5d066d39dd01ae2'.,"{'collection': 'projects', 'aggregate': [{'$match': {'LeadUserId': '6571e715e5d066d39dd01ae2'}}, {'$project': {'ProjectName': 1, '_id': 0}}]}","[{'ProjectName': 'Alian Hr module'}, {'ProjectName': 'Chatbot for Alianhub'}, {'ProjectName': 'Fx - SJJA Apparel app comissionfy updates (Bruno)'}, {'ProjectName': 'Alian Infinity Accounting'}, {'ProjectName': 'Fx-Alian Sales'}, {'ProjectName': 'training reports'}, {'ProjectName': 'Alianhub support'}, {'ProjectName': 'python test task'}, {'ProjectName': 'Hr - UX/UI Developer [Stephanie Dale]'}]"
List out all the projects that are lead by the leader name 'Rashesh Makwana'.,"{'collection': 'users', 'aggregate': [{'$match': {'Employee_Name': 'Rashesh Makwana'}}, {'$lookup': {'from': 'projects', 'localField': '_id', 'foreignField': 'LeadUserId', 'as': 'projects'}}, {'$unwind': '$projects'}, {'$project': {'projects.ProjectName': 1, '_id': 0}}]}","[{'projects': {'ProjectName': 'Cloversoftware'}}, {'projects': {'ProjectName': 'Test Task: Develop PDP'}}, {'projects': {'ProjectName': 'Tds calculater'}}]"
Retrieve tasks under the project 'Alian Hub Design & Development' that have a 'MEDIUM' priority and were created last month.,"{'collection': 'tasks', 'filter': {'ProjectID': {'$in': [{'$lookup': {'from': 'projects', 'localField': 'ProjectID', 'foreignField': '_id', 'as': 'project_info'}}]}, 'project_info.ProjectName': 'Alian Hub Design & Development', 'Task_Priority': 'MEDIUM', 'createdAt': {'$gte': {'$date': '2025-02-01T00:00:00.000Z'}, '$lt': {'$date': '2025-03-01T00:00:00.000Z'}}}, 'projection': {'TaskName': 1, 'Task_Priority': 1, 'createdAt': 1, '_id': 0}}","[{'TaskName': 'GITEX 2024 Page Design', 'Task_Priority': 'MEDIUM', 'createdAt': '2025-02-07T04:38:15.496Z'}, {'TaskName': 'Create Design for Email Templates ALL template;s like verify, reset password, etc.', 'Task_Priority': 'MEDIUM', 'createdAt': '2025-02-17T05:38:40.200Z'}, {'TaskName': 'Required to update design at plan page', 'Task_Priority': 'MEDIUM', 'createdAt': '2025-02-17T05:44:10.996Z'}]"
List out the employee whose last name is 'Joshi',"{""collection"":""users"",""filter"":{""Employee_LName"":""Joshi""},""projection"":{""Employee_Name"":1,""_id"":0}}","[{'Employee_Name': 'Shiv Joshi'}, {'Employee_Name': 'Viren Joshi'}, {'Employee_Name': 'Abhishek Joshi'}, {'Employee_Name': 'Vikas Joshi'}]"
List out all users who have task status 'To Do',"{'collection': 'tasks', 'aggregate': [{'$lookup': {'from': 'users', 'localField': 'AssigneeUserId', 'foreignField': '_id', 'as': 'user_info'}}, {'$unwind': '$user_info'}, {'$match': {'status.text': 'To Do'}}, {'$project': {'user_info.Employee_Name': 1, 'status.text': 1, '_id': 0}}]}","[{'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Disha Patel'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Ami Dalwadi'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Disha Patel'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Ami Dalwadi'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Disha Patel'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Disha Patel'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Foram Dhanak'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Komal Vadaliya'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Ami Dalwadi'}}, {'status': {'text': 'To Do'}, 'user_info': {'Employee_Name': 'Manthan Parmar'}}]"
What is the id of employee name 'Shiv Joshi'?,"{'collection': 'users', 'filter': {'Employee_Name': 'Shiv Joshi'}, 'projection': {'_id': 1}}",{'_id': '6571e715e5d066d39dd01b68'}
